Type,Z-score,Original Count,Random Mean,Standard Deviation
Motif,63.87543681706943,135,39.4,1.4966629547095764
Motif,30.70791739073476,138,49.0,2.898275349237888
Motif,29.614630097123847,142,45.4,3.2619012860600183
Motif,17.17137376994095,1000,745.4,14.82700239428051
Motif,9.192388155425117,35,22.0,1.4142135623730951
Motif,5.112313234371975,1896,1744.0,29.732137494637012
Motif,3.919647479510927,31,25.8,1.3266499161421599
Motif,3.0398000946418517,38,31.8,2.039607805437114
Anti-motif,-4.65558869690714,462,558.0,20.620378270051205
